Number of Hotels,Index_of_Mining,Comment_Text,Name,Rating,Positive Polarity Scores,Negative Polarity Scores,Neutral Polarity Scores,CompoundPolarityScores
1,0,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
2,1,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
3,2,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
4,3,"Basic Hotel, no frills",Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,5,0,0.423,0.577,-0.296
5,4,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
6,5,Nice place,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0.737,0,0.263,0.4215
7,6,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
8,7,"The best, you must stay here.",Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0.457,0,0.543,0.6369
9,8,Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,2,1,0,0,0.4404
10,9,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
11,10,overall the hotel was very good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.39,0,0.61,0.4927
12,11,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
13,12,Fair,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,5,1,0,0,0.3182
14,13,Very nice hotel great location. expensive for laundry services. Food expensive. Staff friendly and.,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,0.492,0,0.508,0.8923
15,14,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
16,15,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
17,16,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
18,17,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
19,18,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
20,19,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
21,20,Wonderful,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,1,0,0,0.5719
22,21,Wonderful,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,1,0,0,0.5719
23,22,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
24,23,excellent !,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,1,0,0,0.6114
25,24,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
26,25,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
27,26,Very Poor,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,2,0,0.772,0.228,-0.5256
28,27,We really enjoyed our stay at the Avani Hotel,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.31,0,0.69,0.5563
29,28,Great place for business trips to Thailand with great service and value for money,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,0.491,0,0.509,0.891
30,29,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
31,30,Pleasant,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,6,1,0,0,0.5106
32,31,Brilliant stay,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,0.792,0,0.208,0.5859
33,32,definitely would stay again. really was a great hotel,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.541,0,0.459,0.7951
34,33,Fair,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,5,1,0,0,0.3182
35,34,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
36,35,Will not go there again,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,5,0,0,1,0
37,36,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
38,37,Was absolutely okay but nothing special,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,7,0.188,0.34,0.472,-0.3161
39,38,Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,7,1,0,0,0.4404
40,39,Good value for money,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,0.726,0,0.274,0.6486
41,40,Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,7,1,0,0,0.4404
42,41,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
43,42,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
44,43,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
45,44,great,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,9,1,0,0,0.6249
46,45,Fantastic hotel and service,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0.545,0,0.455,0.5574
47,46,Pleasant,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,6,1,0,0,0.5106
48,47,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
49,48,Exceptional,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,10,0,0,1,0
50,49,Very Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8,0.762,0,0.238,0.4927
51,50,Good,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,7,1,0,0,0.4404
