Number-of-Hotels,Hotel-Name,OverallRating,City,AveragePolarityScore
1,Hotel Avani Sukhumvit Bangkok - SHA Extra Plus Certified,8.7,Bangkok,0.327771
2,Hotel The Continent Hotel Bangkok by Compass Hospitality - SHA Extra Plus,8.1,Bangkok,0.272088
3,Hotel Shanghai Mansion Bangkok - SHA Extra Plus,9,Bangkok,0.323588
4,Hotel Amari Watergate Bangkok - SHA Extra Plus Certified,8.5,Bangkok,0.312299
5,Hotel VIC 3 Bangkok - SHA Plus,8.3,Bangkok,0.374526
6,Hotel The Berkeley Hotel Pratunam - SHA Extra Plus,8.4,Bangkok,0.349676
7,Hotel The Mulberry Bangkok Khaosan Road,8.2,Bangkok,0.296833
8,Hotel Ambassador Hotel Bangkok - SHA Extra Plus,6.9,Bangkok,0.33206
9,Hotel Patumwan House,8.3,Bangkok,0.408847
10,Hotel Maitria Mode Sukhumvit 15 Bangkok - A Chatrium Collection,9,Bangkok,0.354149
11,Hotel The Quarter Silom by UHG - SHA Extra Plus,8.9,Bangkok,0.309283
12,Hotel The Quarter Phromphong by UHG - SHA Extra Plus,8.9,Bangkok,0.376295
13,Hotel Legacy Suites Hotel Sukhumvit - SHA Extra Plus,8.9,Bangkok,0.364226
14,"Hotel Siam@Siam, Design Hotel Bangkok",8.8,Bangkok,0.358645
15,Apartments The Quarter Ploenchit by UHG - SHA Extra Plus,8.8,Bangkok,0.349738
16,Hotel La Locanda,8.7,Bangkok,0.35656
17,Hotel Siri Sathorn Bangkok by UHG - SHA Extra Plus,8.1,Bangkok,0.315909
18,Hotel Lancaster Bangkok - SHA Extra Plus,9.2,Bangkok,0.331914
19,Hotel I Residence Hotel Silom,7.8,Bangkok,0.295359
20,Hotel Amora NeoLuxe Suites Hotel,8.2,Bangkok,0.336647
21,Hotel M Hotel Singapore City Centre,8.2,Singapore,0.3784
22,Hotel Village Hotel Sentosa by Far East Hospitality (SG Clean),8.4,Singapore,0.413946
23,"Hotel M Social Singapore (SG Clean, Staycation Approved)",7.9,Singapore,0.310681
24,Hotel The Outpost Hotel Sentosa by Far East Hospitality (SG Clean),9,Singapore,0.323447
25,Condo Hotel Orchard Grand Court,8.5,Singapore,0.409301
26,Hotel Hotel Supreme,6.5,Singapore,0.137731
27,Hotel Marina Bay Sands (SG Clean),9,Singapore,0.27713
28,Hotel Hotel Traveltine - SG Clean & Staycation Approved,8.1,Singapore,0.393596
29,Hotel Hotel Grand Pacific (SG Clean),7.5,Singapore,0.29816
30,Hotel V Hotel Lavender - SG Clean,7.5,Singapore,0.29077
31,Hotel Strand Hotel (SG Clean),7.9,Singapore,0.334123
32,Condo Hotel Treetops Executive Residences (SG Clean),9,Singapore,0.358146
33,Condo Hotel Park Avenue Clemenceau (SG Clean),8.7,Singapore,0.45351
34,Hostel The Bohemian,8.5,Singapore,0.332339
35,Hotel JEN Singapore Orchardgateway by Shangri-La - SG Clean,8.9,Singapore,0.404009
36,"Hotel Aerotel Transit Hotel, Terminal 1",8,Singapore,0.307651
37,Resort Resorts World Sentosa - Hard Rock Hotel (SG Clean),7.8,Singapore,0.24811
38,Hotel Carlton City Hotel Singapore (SG Clean),8.8,Singapore,0.360577
39,Hotel Ibis Budget Singapore Ruby - SG Clean,7.4,Singapore,0.290279
40,"Hotel The Quay Hotel (SG Clean, Staycation Approved)",8.2,Singapore,0.293529
41,Apartments Eastern Suites at Platinum KLCC,8.8,Kuala Lumpur,0.278989
42,Apartments The Platinum Suites Kuala Lumpur by LUMA,8.2,Kuala Lumpur,0.268941
43,Apartments Mercu Summer Suite - Little Penguin,8.5,Kuala Lumpur,0.313287
44,Hotel Ceylonz Suite by Five Senses,7.6,Kuala Lumpur,0.228285
45,Apartments Luxy Service Suites at Times Square KL,8.1,Kuala Lumpur,0.104822
46,Apartments Expressionz KLCC by Wodages,8.1,Kuala Lumpur,0.209839
47,Guesthouse Amethyst Love Guesthouse,8.3,Kuala Lumpur,0.260799
48,Hotel Hotel Olympic Malaysia,8,Kuala Lumpur,0.274283
49,Hotel Ceria Hotel,8,Kuala Lumpur,0.316098
50,Hotel Days Hotel & Suites by Wyndham Fraser Business Park KL,8.3,Kuala Lumpur,0.280602
51,Hotel Time Hotel,5.9,Kuala Lumpur,0.065515
52,Hotel AnCasa Hotel Kuala Lumpur by Ancasa Hotels & Resorts,7.8,Kuala Lumpur,0.325922
53,"Hotel Sun Inns Hotel Sentral, Brickfields",7.7,Kuala Lumpur,0.149316
54,Hotel Sunway Clio Hotel @ Sunway Pyramid Mall,8.8,Kuala Lumpur,0.399542
55,Hotel KIP Hotel,8,Kuala Lumpur,0.302294
56,Hotel Mercure Kuala Lumpur Shaw Parade,8.7,Kuala Lumpur,0.358833
57,Condo Hotel Dorsett Residences Bukit Bintang @Dorsett Kuala Lumpur,7.7,Kuala Lumpur,0.259598
58,Hotel Concorde Hotel Kuala Lumpur,8.4,Kuala Lumpur,0.283829
59,Hotel ANSA Hotel Kuala Lumpur,8.1,Kuala Lumpur,0.395479
60,Hotel The Kuala Lumpur Journal Hotel,8.6,Kuala Lumpur,0.399789
