Number of Hotels,,Comment_Text,Name,Rating,Positive Polarity Scores,Negative Polarity Scores,Neutral Polarity Scores,CompoundPolarityScores
1,0,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
2,1,Pleasant,Hotel M Hotel Singapore City Centre,6,1,0,0,0.5106
3,2,"Wonderful stay, good quality of food and services. :D Hehehe worth the money!",Hotel M Hotel Singapore City Centre,9,0.588,0,0.412,0.9157
4,3,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
5,4,Recommended to stay Orchard Hotel,Hotel M Hotel Singapore City Centre,8,0.31,0,0.69,0.2023
6,5,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
7,6,Excellent stay,Hotel M Hotel Singapore City Centre,9,0.787,0,0.213,0.5719
8,7,try and find somewhere else,Hotel M Hotel Singapore City Centre,3,0,0,1,0
9,8,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
10,9,Good,Hotel M Hotel Singapore City Centre,7,1,0,0,0.4404
11,10,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
12,11,Good,Hotel M Hotel Singapore City Centre,7,1,0,0,0.4404
13,12,Great place to stay,Hotel M Hotel Singapore City Centre,9,0.577,0,0.423,0.6249
14,13,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
15,14,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
16,15,Excellent service and hotel.,Hotel M Hotel Singapore City Centre,10,0.552,0,0.448,0.5719
17,16,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
18,17,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
19,18,Fantastic weekend staycation,Hotel M Hotel Singapore City Centre,10,0.643,0,0.357,0.5574
20,19,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
21,20,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
22,21,Good,Hotel M Hotel Singapore City Centre,7,1,0,0,0.4404
23,22,Disappointing staycation,Hotel M Hotel Singapore City Centre,3,0,0.762,0.238,-0.4939
24,23,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
25,24,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
26,25,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
27,26,Cozy weekend staycation,Hotel M Hotel Singapore City Centre,9.6,0,0,1,0
28,27,"Hotel is perfectly located for us, next to our office building. Spacious rooms with a nice view.",Hotel M Hotel Singapore City Centre,7,0.333,0,0.667,0.7906
29,28,great location for the money,Hotel M Hotel Singapore City Centre,8,0.506,0,0.494,0.6249
30,29,Pleasant,Hotel M Hotel Singapore City Centre,6.7,1,0,0,0.5106
31,30,A wonderfully brief stay,Hotel M Hotel Singapore City Centre,8.8,0.661,0,0.339,0.5994
32,31,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
33,32,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
34,33,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
35,34,Good location,Hotel M Hotel Singapore City Centre,9,0.744,0,0.256,0.4404
36,35,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
37,36,Pleasant,Hotel M Hotel Singapore City Centre,6.2,1,0,0,0.5106
38,37,Wonderful,Hotel M Hotel Singapore City Centre,9,1,0,0,0.5719
39,38,Pleasant,Hotel M Hotel Singapore City Centre,6.7,1,0,0,0.5106
40,39,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
41,40,Excellent,Hotel M Hotel Singapore City Centre,8.8,1,0,0,0.5719
42,41,Pleasant,Hotel M Hotel Singapore City Centre,6.2,1,0,0,0.5106
43,42,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
44,43,Wonderful,Hotel M Hotel Singapore City Centre,9.2,1,0,0,0.5719
45,44,Good,Hotel M Hotel Singapore City Centre,7,1,0,0,0.4404
46,45,Pleasant three day stay,Hotel M Hotel Singapore City Centre,7.9,0.524,0,0.476,0.5106
47,46,Better luck next time,Hotel M Hotel Singapore City Centre,6,0.747,0,0.253,0.7096
48,47,Good,Hotel M Hotel Singapore City Centre,7,1,0,0,0.4404
49,48,Exceptional,Hotel M Hotel Singapore City Centre,10,0,0,1,0
50,49,Exceptional,Hotel M Hotel Singapore City Centre,9.6,0,0,1,0
51,50,Fair,Hotel M Hotel Singapore City Centre,5,1,0,0,0.3182
52,51,Pleasant,Hotel M Hotel Singapore City Centre,6.2,1,0,0,0.5106
53,52,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
54,53,Great place to enjoy Singapore,Hotel M Hotel Singapore City Centre,10,0.709,0,0.291,0.8074
55,54,Fair,Hotel M Hotel Singapore City Centre,5,1,0,0,0.3182
56,55,Very Good,Hotel M Hotel Singapore City Centre,8,0.762,0,0.238,0.4927
